50.228.203.26#US|77.2Mbps|TLS64.85ms|IPPure:1
38.65.9.110#US|462.4Mbps|TLS17.12ms|IPPure:2
89.125.77.235#NL|4.5Mbps|TLS164.31ms|IPPure:3
85.215.196.151#DE|3.5Mbps|TLS160.84ms|IPPure:3
185.132.39.46#GB|4.4Mbps|TLS152.31ms|IPPure:3
119.205.235.58#KR|TLS9999ms|IPPure:4
91.232.114.118#NL|4.0Mbps|TLS145.81ms|IPPure:4
43.170.8.95#JP|TLS9999ms|IPPure:4
5.230.57.136#DE|3.1Mbps|TLS132.62ms|IPPure:5
185.73.222.95#NL|3.9Mbps|TLS153.05ms|IPPure:8
51.15.70.69#NL|4.1Mbps|TLS143.77ms|IPPure:9
78.17.131.179#DE|4.0Mbps|TLS105.43ms|IPPure:9
78.129.165.129#GB|4.0Mbps|TLS139.41ms|IPPure:10
43.168.16.112#HK|TLS9999ms|IPPure:12
140.235.74.26#GB|4.1Mbps|TLS145.32ms|IPPure:13
169.40.138.79#DE|3.7Mbps|TLS172.3ms|IPPure:15
212.16.78.22#NL|6.5Mbps|TLS119.11ms|IPPure:16
87.106.198.216#DE|3.8Mbps|TLS163.11ms|IPPure:17
146.19.248.209#NL|5.1Mbps|TLS157.94ms|IPPure:18
169.197.94.149#US|2.3Mbps|TLS21.55ms|IPPure:18
217.154.163.39#DE|6.8Mbps|TLS126.17ms|IPPure:19
95.81.100.5#NL|7.0Mbps|TLS120.86ms|IPPure:21
45.38.60.153#HK|TLS9999ms|IPPure:21
193.17.180.5#US|209.2Mbps|TLS55.84ms|IPPure:22
176.97.70.51#JP|TLS9999ms|IPPure:22
88.214.26.248#DE|5.9Mbps|TLS130.46ms|IPPure:22
23.95.148.8#US|10.4Mbps|TLS71.62ms|IPPure:22
45.135.58.68#NL|5.6Mbps|TLS132.18ms|IPPure:23
5.129.212.160#NL|2.7Mbps|TLS95.23ms|IPPure:23
45.129.143.91#NL|4.3Mbps|TLS135.09ms|IPPure:24
185.186.245.90#US|40.0Mbps|TLS44.59ms|IPPure:25
185.55.243.113#DE|4.5Mbps|TLS137.3ms|IPPure:25
91.132.95.212#GB|3.8Mbps|TLS136.66ms|IPPure:26
185.204.52.78#NL|4.2Mbps|TLS145.62ms|IPPure:26
34.39.62.53#GB|5.1Mbps|TLS144.17ms|IPPure:27
157.22.178.119#NL|3.8Mbps|TLS138.1ms|IPPure:27
5.253.188.137#DE|6.0Mbps|TLS151.62ms|IPPure:27
107.174.70.130#US|15.2Mbps|TLS73.24ms|IPPure:27
2.26.138.203#NL|6.8Mbps|TLS107.48ms|IPPure:27
83.219.249.108#DE|3.4Mbps|TLS150.65ms|IPPure:28
204.44.74.241#US|9.0Mbps|TLS76.94ms|IPPure:28
185.239.71.145#NL|3.7Mbps|TLS91.6ms|IPPure:28
91.217.149.34#DE|4.1Mbps|TLS149.58ms|IPPure:29
78.17.74.211#DE|3.5Mbps|TLS144.28ms|IPPure:29
130.185.144.78#GB|3.7Mbps|TLS133.25ms|IPPure:29
207.148.99.230#JP|8.8Mbps|TLS118.14ms|IPPure:29
103.97.88.133#NL|3.8Mbps|TLS142.36ms|IPPure:29
217.177.11.81#NL|6.7Mbps|TLS133.31ms|IPPure:29
94.141.161.126#DE|3.5Mbps|TLS164.52ms|IPPure:29
31.58.220.200#NL|5.5Mbps|TLS215.51ms|IPPure:29
